57,Low Card,Draw,5,2,24,6,9,1,Source misplaced,N/A
58,Lowboy,Draw,5,2,0,6,9,1,Xaos Dog,http://www.xaosdog.com
59,Magic,Draw,5,2,30,6,9,1,Jay Close,N/A
60,Making Babies,Draw,5,2,12,6,9,1,Joker Poker,http://www.freewebs.com/jokerpoker/
61,Menage a Trois,Draw,5,2,4,6,9,1,Will Smith,N/A
62,Mexican Draw,Draw,5,2,4,4,9,1,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
63,Micky Mantle,Draw,5,2,4,6,9,1,Mike Tsao,http://www.sowbug.org/cards.html
64,Monkey Love,Draw,9,2,0,6,13,1,Jeff Prillaman,N/A
65,Neal Deal Red,Draw,5,2,12,6,9,1,Graham's Card Club,http://www.gccpokertables.com/
66,Old English Draw,Draw,5,2,0,6,9,1,Source misplaced,N/A
67,One Eyed King,Draw,5,2,1,6,9,1,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
68,Pass the Crap,Draw,5,2,0,10,13,1,P. D. Magnus,http://www.fucundity.com/pmagnus/poker.html
69,Pay for Your Draw,Draw,5,2,0,6,9,1,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
70,Pay to Fold,Draw,5,2,0,6,9,1,Jon Shemitz,http://www.midnightbeach.com/jon/poker/variations.html
71,Pothooks,Draw,5,2,4,6,9,1,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
72,Pregnant Threes,Draw,5,2,12,6,9,1,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
73,Red-Black,Nonpoker,5,2,0,6,9,1,Graham's Card Club,http://www.gccpokertables.com/
74,Red and Black,Nonpoker,5,2,0,6,9,1,Joker Poker,http://www.freewebs.com/jokerpoker/
75,Rollouts,Draw,5,6,0,6,9,1,Public Domain,N/A
76,Rubidoux,Draw,5,2,4,6,9,1,Aidtopia,http://www.aidtopia.com/communities/poker/
77,Ruin Your Neighbor,Draw,5,2,0,6,10,1,Source misplaced,N/A
78,Seven Card Draw II,Draw,7,2,0,4,12,1,Intellectual Orgy,http://tinkrbel.greyduck.net/
79,Short Deck Draw,Draw,5,2,0,6,9,1,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
80,Shotgun,Draw,5,3,0,6,9,1,Wikipedia,http://en.wikipedia.org/wiki/Poker
81,Six Back to Five,Draw,5,2,0,5,10,1,Public Domain,N/A
82,Sixty Nine Draw,Draw,5,2,8,6,9,1,P. D. Magnus,http://www.fucundity.com/pmagnus/poker.html
83,Slippery Elmer,Draw,5,3,3,5,9,1,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
84,Snowmen and Hockey Sticks,Draw,5,2,8,6,9,1,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
85,Stooge Poker,Draw,6,2,12,4,10,1,Legion West,http://interoz.com/madhatters/legionwest/poker.htm
86,Straight Draw Poker,Draw,5,2,0,6,9,1,iPoker,http://www.ouzts.net/iPoker/
87,Switch,Draw,5,2,0,6,11,1,Invented Poker Variations,http://www.pagat.com/invented/poker_vars.html
88,Ten High,Draw,5,2,0,6,9,1,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
89,The Emporer's New Cards,Draw,5,2,0,6,9,1,Craig O'Brien,N/A
90,Three Card Draw,Draw,3,2,0,10,5,1,Public Domain,N/A
91,Three Twist,Draw,5,2,0,6,8,1,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
